y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2008/1,-60,-0.3,-3.53,23,0.11,1.36,128,0.64,7.54,105,0.52,6.19
2008/2,47,0.23,2.96,23,0.11,1.45,123,0.61,7.75,100,0.5,6.3
2008/3,-103,-0.51,-6.07,9,0.04,0.53,123,0.61,7.25,114,0.57,6.72
2008/4,174,0.87,10.6,44,0.22,2.68,151,0.75,9.19,107,0.53,6.51
2008/5,37,0.18,2.18,6,0.03,0.35,112,0.56,6.6,106,0.53,6.24
2008/6,143,0.71,8.7,33,0.16,2.01,116,0.58,7.06,83,0.41,5.05
2008/7,-30,-0.15,-1.77,9,0.04,0.53,123,0.61,7.24,114,0.57,6.71
2008/8,53,0.26,3.12,16,0.08,0.94,121,0.6,7.12,105,0.52,6.18
2008/9,-117,-0.58,-7.11,29,0.14,1.76,139,0.69,8.45,110,0.55,6.69
2008/10,-5,-0.02,-0.29,44,0.22,2.59,143,0.71,8.42,99,0.49,5.83
2008/11,104,0.52,6.33,48,0.24,2.92,154,0.77,9.37,106,0.53,6.45
2008/12,-56,-0.28,-3.29,-12,-0.06,-0.71,117,0.58,6.88,129,0.64,7.59
2009/1,14,0.07,0.82,21,0.1,1.23,103,0.51,6.04,82,0.41,4.81
2009/2,-107,-0.53,-6.95,-19,-0.09,-1.23,134,0.67,8.71,153,0.76,9.94
2009/3,112,0.56,6.58,52,0.26,3.05,170,0.85,9.98,118,0.59,6.93
2009/4,-275,-1.37,-16.68,-12,-0.06,-0.73,75,0.37,4.55,87,0.43,5.28
2009/5,-14,-0.07,-0.82,18,0.09,1.06,102,0.51,5.99,84,0.42,4.94
2009/6,-40,-0.2,-2.43,16,0.08,0.97,126,0.63,7.65,110,0.55,6.68
2009/7,-49,-0.24,-2.88,26,0.13,1.53,134,0.67,7.88,108,0.54,6.35
2009/8,-80,-0.4,-4.7,0,0,0,104,0.52,6.12,104,0.52,6.12
2009/9,-47,-0.23,-2.86,2,0.01,0.12,113,0.56,6.87,111,0.55,6.75
2009/10,-89,-0.44,-5.24,28,0.14,1.65,151,0.75,8.89,123,0.61,7.24
2009/11,-161,-0.8,-9.79,28,0.14,1.7,139,0.7,8.46,111,0.56,6.75
2009/12,73,0.37,4.3,29,0.15,1.71,144,0.72,8.48,115,0.58,6.77
2010/1,-203,-1.02,-11.95,36,0.18,2.12,134,0.67,7.89,98,0.49,5.77
2010/2,24,0.12,1.57,-1,-0.01,-0.07,94,0.47,6.13,95,0.48,6.2
2010/3,-149,-0.75,-8.78,29,0.15,1.71,145,0.73,8.55,116,0.58,6.84
2010/4,-161,-0.81,-9.81,-5,-0.03,-0.3,111,0.56,6.77,116,0.58,7.07
2010/5,-86,-0.43,-5.08,32,0.16,1.89,122,0.61,7.2,90,0.45,5.31
2010/6,-57,-0.29,-3.48,5,0.03,0.31,107,0.54,6.53,102,0.51,6.23
2010/7,117,0.59,6.91,2,0.01,0.12,106,0.53,6.26,104,0.52,6.14
2010/8,18,0.09,1.06,-9,-0.05,-0.53,126,0.63,7.44,135,0.68,7.97
2010/9,-9,-0.05,-0.55,38,0.19,2.32,135,0.68,8.24,97,0.49,5.92
2010/10,18,0.09,1.06,23,0.12,1.36,123,0.62,7.26,100,0.5,5.9
2010/11,-88,-0.44,-5.37,8,0.04,0.49,126,0.63,7.69,118,0.59,7.2
