y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2008/1,38,0.14,1.69,79,0.3,3.51,186,0.7,8.27,107,0.4,4.76
2008/2,201,0.76,9.55,76,0.29,3.61,183,0.69,8.69,107,0.4,5.08
2008/3,137,0.52,6.09,68,0.26,3.02,189,0.71,8.39,121,0.46,5.37
2008/4,93,0.35,4.27,97,0.36,4.45,184,0.69,8.44,87,0.33,3.99
2008/5,91,0.34,4.04,92,0.35,4.08,190,0.71,8.43,98,0.37,4.35
2008/6,54,0.2,2.48,53,0.2,2.43,164,0.62,7.52,111,0.42,5.09
2008/7,80,0.3,3.55,49,0.18,2.17,162,0.61,7.19,113,0.42,5.01
2008/8,199,0.75,8.83,69,0.26,3.06,155,0.58,6.87,86,0.32,3.81
2008/9,78,0.29,3.57,94,0.35,4.3,186,0.7,8.52,92,0.35,4.21
2008/10,129,0.48,5.72,99,0.37,4.39,194,0.73,8.59,95,0.36,4.21
2008/11,144,0.54,6.59,138,0.52,6.31,221,0.83,10.11,83,0.31,3.8
2008/12,46,0.17,2.04,79,0.3,3.5,182,0.68,8.05,103,0.39,4.56
2009/1,49,0.18,2.16,77,0.29,3.4,167,0.63,7.37,90,0.34,3.97
2009/2,75,0.28,3.66,84,0.31,4.1,204,0.76,9.96,120,0.45,5.86
2009/3,188,0.7,8.29,131,0.49,5.78,227,0.85,10.01,96,0.36,4.23
2009/4,-108,-0.4,-4.92,22,0.08,1,119,0.45,5.42,97,0.36,4.42
2009/5,136,0.51,6,63,0.24,2.78,142,0.53,6.26,79,0.3,3.48
2009/6,108,0.4,4.92,76,0.28,3.46,188,0.7,8.56,112,0.42,5.1
2009/7,145,0.54,6.39,77,0.29,3.39,187,0.7,8.24,110,0.41,4.84
2009/8,143,0.53,6.3,39,0.15,1.72,147,0.55,6.47,108,0.4,4.75
2009/9,-26,-0.1,-1.18,53,0.2,2.41,159,0.59,7.23,106,0.4,4.82
2009/10,59,0.22,2.6,108,0.4,4.75,188,0.7,8.27,80,0.3,3.52
2009/11,55,0.21,2.5,89,0.33,4.05,181,0.68,8.23,92,0.34,4.18
2009/12,72,0.27,3.17,88,0.33,3.87,193,0.72,8.49,105,0.39,4.62
2010/1,30,0.11,1.32,86,0.32,3.78,173,0.65,7.61,87,0.32,3.83
2010/2,-78,-0.29,-3.8,75,0.28,3.65,152,0.57,7.4,77,0.29,3.75
2010/3,149,0.56,6.55,69,0.26,3.03,196,0.73,8.62,127,0.47,5.59
2010/4,-80,-0.3,-3.63,38,0.14,1.73,149,0.56,6.77,111,0.41,5.04
2010/5,32,0.12,1.41,80,0.3,3.52,169,0.63,7.43,89,0.33,3.91
2010/6,14,0.05,0.64,27,0.1,1.23,117,0.44,5.32,90,0.34,4.09
2010/7,336,1.25,14.77,60,0.22,2.64,150,0.56,6.59,90,0.34,3.95
2010/8,313,1.17,13.75,64,0.24,2.81,162,0.6,7.11,98,0.37,4.3
2010/9,477,1.78,21.62,58,0.22,2.63,161,0.6,7.29,103,0.38,4.66
2010/10,563,2.09,24.65,88,0.33,3.85,177,0.66,7.74,89,0.33,3.89
2010/11,288,1.07,13,51,0.19,2.3,175,0.65,7.9,124,0.46,5.6
