y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2008/1,-49,-0.43,-5.09,28,0.25,2.91,94,0.83,9.76,66,0.58,6.85
2008/2,8,0.07,0.89,43,0.38,4.77,86,0.76,9.55,43,0.38,4.77
2008/3,51,0.45,5.3,44,0.39,4.57,104,0.91,10.8,60,0.53,6.23
2008/4,-123,-1.08,-13.19,22,0.19,2.36,81,0.71,8.69,59,0.52,6.33
2008/5,-99,-0.87,-10.29,21,0.18,2.18,73,0.64,7.59,52,0.46,5.41
2008/6,44,0.39,4.73,25,0.22,2.69,78,0.69,8.38,53,0.47,5.7
2008/7,32,0.28,3.33,11,0.1,1.14,74,0.65,7.69,63,0.55,6.55
2008/8,-98,-0.86,-10.19,34,0.3,3.54,84,0.74,8.74,50,0.44,5.2
2008/9,93,0.82,10,27,0.24,2.9,69,0.61,7.41,42,0.37,4.51
2008/10,36,0.32,3.74,34,0.3,3.53,90,0.79,9.35,56,0.49,5.82
2008/11,102,0.9,10.95,61,0.54,6.55,109,0.96,11.7,48,0.42,5.15
2008/12,-41,-0.36,-4.26,29,0.26,3.01,76,0.67,7.89,47,0.41,4.88
2009/1,-15,-0.13,-1.55,32,0.28,3.31,76,0.67,7.87,44,0.39,4.56
2009/2,-80,-0.7,-9.18,16,0.14,1.84,86,0.76,9.87,70,0.62,8.03
2009/3,-115,-1.01,-11.92,60,0.53,6.22,111,0.98,11.51,51,0.45,5.29
2009/4,-45,-0.4,-4.83,9,0.08,0.97,64,0.56,6.86,55,0.48,5.9
2009/5,12,0.11,1.25,17,0.15,1.76,77,0.68,7.99,60,0.53,6.23
2009/6,-111,-0.98,-11.91,19,0.17,2.04,80,0.71,8.59,61,0.54,6.55
2009/7,-47,-0.41,-4.88,33,0.29,3.43,89,0.79,9.25,56,0.49,5.82
2009/8,-7,-0.06,-0.73,13,0.11,1.35,67,0.59,6.96,54,0.48,5.61
2009/9,63,0.56,6.77,36,0.32,3.87,82,0.72,8.81,46,0.41,4.94
2009/10,-19,-0.17,-1.97,22,0.19,2.29,85,0.75,8.83,63,0.56,6.55
2009/11,-95,-0.84,-10.2,16,0.14,1.72,77,0.68,8.27,61,0.54,6.55
2009/12,-64,-0.57,-6.66,45,0.4,4.68,90,0.8,9.36,45,0.4,4.68
2010/1,-120,-1.06,-12.49,19,0.17,1.98,84,0.74,8.75,65,0.57,6.77
2010/2,-73,-0.65,-8.42,5,0.04,0.58,63,0.56,7.27,58,0.51,6.69
2010/3,-102,-0.9,-10.63,15,0.13,1.56,80,0.71,8.34,65,0.58,6.78
2010/4,-9,-0.08,-0.97,12,0.11,1.29,57,0.51,6.15,45,0.4,4.85
2010/5,-21,-0.19,-2.19,14,0.12,1.46,76,0.67,7.93,62,0.55,6.47
2010/6,-21,-0.19,-2.26,7,0.06,0.75,65,0.58,7.01,58,0.51,6.26
2010/7,225,1.99,23.49,12,0.11,1.25,72,0.64,7.51,60,0.53,6.26
2010/8,157,1.39,16.35,10,0.09,1.04,63,0.56,6.56,53,0.47,5.52
2010/9,353,3.12,37.95,13,0.11,1.4,83,0.73,8.91,70,0.62,7.51
2010/10,268,2.36,27.79,27,0.24,2.8,83,0.73,8.6,56,0.49,5.8
2010/11,114,1,12.19,28,0.25,2.99,91,0.8,9.72,63,0.55,6.73
