y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2008/1,65,0.31,3.64,34,0.16,1.9,134,0.64,7.5,100,0.47,5.59
2008/2,178,0.84,10.64,26,0.12,1.55,127,0.6,7.59,101,0.48,6.04
2008/3,311,1.47,17.38,43,0.2,2.4,136,0.64,7.6,93,0.44,5.19
2008/4,34,0.16,1.96,14,0.07,0.81,114,0.54,6.57,100,0.47,5.77
2008/5,-150,-0.71,-8.37,23,0.11,1.28,116,0.55,6.48,93,0.44,5.19
2008/6,110,0.52,6.35,38,0.18,2.19,114,0.54,6.58,76,0.36,4.38
2008/7,-230,-1.09,-12.84,55,0.26,3.07,135,0.64,7.54,80,0.38,4.47
2008/8,-529,-2.5,-29.56,23,0.11,1.29,105,0.5,5.87,82,0.39,4.59
2008/9,-674,-3.2,-39.01,35,0.17,2.03,114,0.54,6.61,79,0.38,4.58
2008/10,-63,-0.3,-3.54,38,0.18,2.14,132,0.63,7.42,94,0.45,5.28
2008/11,-154,-0.73,-8.95,95,0.45,5.52,183,0.87,10.63,88,0.42,5.11
2008/12,213,1.01,11.98,40,0.19,2.25,141,0.67,7.93,101,0.48,5.68
2009/1,-153,-0.73,-8.57,19,0.09,1.07,98,0.47,5.49,79,0.38,4.43
2009/2,-152,-0.72,-9.44,-29,-0.14,-1.8,104,0.5,6.46,133,0.63,8.26
2009/3,111,0.53,6.23,75,0.36,4.21,160,0.76,8.98,85,0.41,4.77
2009/4,-141,-0.67,-8.17,-26,-0.12,-1.51,64,0.31,3.71,90,0.43,5.22
2009/5,3,0.01,0.17,-7,-0.03,-0.39,83,0.4,4.66,90,0.43,5.05
2009/6,-130,-0.62,-7.54,51,0.24,2.96,152,0.72,8.82,101,0.48,5.86
2009/7,-305,-1.45,-17.13,42,0.2,2.36,132,0.63,7.42,90,0.43,5.06
2009/8,-436,-2.08,-24.52,19,0.09,1.07,104,0.5,5.86,85,0.41,4.79
2009/9,-657,-3.15,-38.27,39,0.19,2.28,113,0.54,6.59,74,0.35,4.32
2009/10,-93,-0.45,-5.26,33,0.16,1.87,113,0.54,6.39,80,0.38,4.52
2009/11,18,0.09,1.05,52,0.25,3.04,118,0.57,6.9,66,0.32,3.86
2009/12,-167,-0.8,-9.45,43,0.21,2.43,138,0.66,7.81,95,0.46,5.38
2010/1,-50,-0.24,-2.83,37,0.18,2.09,136,0.65,7.7,99,0.48,5.6
2010/2,-38,-0.18,-2.38,8,0.04,0.5,90,0.43,5.64,82,0.39,5.14
2010/3,194,0.93,10.99,26,0.12,1.47,127,0.61,7.19,101,0.49,5.72
2010/4,112,0.54,6.55,22,0.11,1.29,121,0.58,7.07,99,0.48,5.79
2010/5,12,0.06,0.68,42,0.2,2.37,119,0.57,6.73,77,0.37,4.35
2010/6,-226,-1.09,-13.21,25,0.12,1.46,116,0.56,6.78,91,0.44,5.32
2010/7,147,0.71,8.32,-26,-0.12,-1.47,94,0.45,5.32,120,0.58,6.79
2010/8,-437,-2.1,-24.72,17,0.08,0.96,102,0.49,5.78,85,0.41,4.81
2010/9,31,0.15,1.82,46,0.22,2.69,133,0.64,7.79,87,0.42,5.1
2010/10,237,1.14,13.43,23,0.11,1.3,109,0.52,6.17,86,0.41,4.87
2010/11,151,0.73,8.83,38,0.18,2.22,132,0.63,7.72,94,0.45,5.5
