y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2008/1,-192,-1,-11.78,17,0.09,1.04,140,0.73,8.59,123,0.64,7.55
2008/2,-41,-0.21,-2.69,6,0.03,0.39,147,0.76,9.65,141,0.73,9.26
2008/3,-197,-1.02,-12.1,-15,-0.08,-0.92,154,0.8,9.46,169,0.88,10.38
2008/4,-235,-1.22,-14.93,5,0.03,0.32,126,0.66,8.01,121,0.63,7.69
2008/5,-273,-1.42,-16.8,-8,-0.04,-0.49,112,0.58,6.9,120,0.63,7.39
2008/6,-178,-0.93,-11.34,-7,-0.04,-0.45,113,0.59,7.2,120,0.63,7.65
2008/7,-225,-1.18,-13.88,14,0.07,0.86,126,0.66,7.78,112,0.59,6.91
2008/8,49,0.26,3.03,5,0.03,0.31,115,0.6,7.1,110,0.58,6.79
2008/9,-143,-0.75,-9.13,9,0.05,0.57,133,0.7,8.49,124,0.65,7.92
2008/10,-396,-2.07,-24.47,-13,-0.07,-0.8,134,0.7,8.29,147,0.77,9.09
2008/11,-265,-1.39,-16.96,48,0.25,3.07,165,0.87,10.57,117,0.61,7.49
2008/12,-13,-0.07,-0.81,-9,-0.05,-0.56,152,0.8,9.43,161,0.85,9.99
2009/1,71,0.37,4.39,-15,-0.08,-0.93,86,0.45,5.32,101,0.53,6.25
2009/2,-193,-1.01,-13.21,-54,-0.28,-3.7,128,0.67,8.77,182,0.96,12.46
2009/3,-189,-0.99,-11.7,25,0.13,1.55,181,0.95,11.21,156,0.82,9.66
2009/4,-298,-1.57,-19.08,-46,-0.24,-2.95,85,0.45,5.45,131,0.69,8.39
2009/5,-265,-1.4,-16.44,-30,-0.16,-1.86,92,0.49,5.71,122,0.64,7.58
2009/6,-288,-1.52,-18.49,-31,-0.16,-1.99,122,0.64,7.84,153,0.81,9.83
2009/7,-248,-1.31,-15.43,15,0.08,0.93,144,0.76,8.97,129,0.68,8.03
2009/8,-119,-0.63,-7.42,-11,-0.06,-0.69,106,0.56,6.61,117,0.62,7.29
2009/9,-224,-1.19,-14.43,-4,-0.02,-0.26,113,0.6,7.29,117,0.62,7.54
2009/10,40,0.21,2.5,14,0.07,0.87,130,0.69,8.11,116,0.61,7.24
2009/11,54,0.29,3.48,5,0.03,0.32,126,0.67,8.13,121,0.64,7.8
2009/12,-265,-1.4,-16.53,12,0.06,0.75,152,0.81,9.49,140,0.74,8.74
2010/1,-262,-1.39,-16.37,-33,-0.18,-2.06,119,0.63,7.44,152,0.81,9.5
2010/2,-150,-0.8,-10.39,-50,-0.27,-3.47,78,0.41,5.41,128,0.68,8.87
2010/3,-292,-1.55,-18.29,-23,-0.12,-1.44,128,0.68,8.02,151,0.8,9.46
2010/4,-191,-1.02,-12.38,-34,-0.18,-2.2,111,0.59,7.2,145,0.77,9.4
2010/5,-81,-0.43,-5.09,-19,-0.1,-1.19,115,0.61,7.22,134,0.71,8.41
2010/6,-220,-1.17,-14.28,-50,-0.27,-3.25,96,0.51,6.23,146,0.78,9.48
2010/7,293,1.56,18.42,-13,-0.07,-0.82,116,0.62,7.29,129,0.69,8.11
2010/8,160,0.85,10.05,-20,-0.11,-1.26,100,0.53,6.28,120,0.64,7.53
2010/9,580,3.09,37.6,6,0.03,0.39,113,0.6,7.31,107,0.57,6.93
2010/10,283,1.5,17.7,-24,-0.13,-1.5,101,0.54,6.31,125,0.66,7.81
2010/11,328,1.74,21.16,0,0,0,124,0.66,7.99,124,0.66,7.99
