y/m,月增加人口數,月增加率,折合年增加率,自然增加人口數,自然增加月增加率,自然增加折合年增加率,出生數,月出生率,折合年出生率,死亡數,月死亡率,折合年死亡率
2008/1,420,0.16,1.89,529,0.2,2.38,1886,0.72,8.47,1357,0.52,6.09
2008/2,1277,0.49,6.13,424,0.16,2.03,1750,0.67,8.4,1326,0.5,6.36
2008/3,639,0.24,2.87,291,0.11,1.31,1800,0.68,8.08,1509,0.57,6.77
2008/4,-639,-0.24,-2.96,321,0.12,1.49,1643,0.62,7.62,1322,0.5,6.13
2008/5,-451,-0.17,-2.02,289,0.11,1.3,1612,0.61,7.23,1323,0.5,5.94
2008/6,-324,-0.12,-1.5,327,0.12,1.52,1558,0.59,7.23,1231,0.47,5.71
2008/7,-1492,-0.57,-6.7,380,0.14,1.71,1644,0.63,7.38,1264,0.48,5.68
2008/8,-2585,-0.98,-11.61,312,0.12,1.4,1496,0.57,6.72,1184,0.45,5.32
2008/9,-3181,-1.21,-14.78,429,0.16,1.99,1620,0.62,7.53,1191,0.45,5.54
2008/10,-394,-0.15,-1.77,566,0.22,2.55,1882,0.72,8.47,1316,0.5,5.92
2008/11,-414,-0.16,-1.93,873,0.33,4.06,2038,0.78,9.48,1165,0.44,5.42
2008/12,798,0.3,3.59,344,0.13,1.55,1762,0.67,7.93,1418,0.54,6.38
2009/1,-833,-0.32,-3.74,354,0.13,1.59,1369,0.52,6.15,1015,0.39,4.56
2009/2,-1817,-0.69,-9.03,78,0.03,0.39,1727,0.66,8.59,1649,0.63,8.2
2009/3,-353,-0.13,-1.59,881,0.34,3.96,2212,0.84,9.94,1331,0.51,5.98
2009/4,-1444,-0.55,-6.71,-222,-0.08,-1.03,1080,0.41,5.02,1302,0.5,6.05
2009/5,-910,-0.35,-4.09,117,0.04,0.53,1248,0.48,5.61,1131,0.43,5.09
2009/6,-1046,-0.4,-4.86,267,0.1,1.24,1660,0.63,7.72,1393,0.53,6.48
2009/7,-1235,-0.47,-5.56,418,0.16,1.88,1756,0.67,7.9,1338,0.51,6.02
2009/8,-2680,-1.02,-12.07,170,0.07,0.77,1387,0.53,6.25,1217,0.47,5.48
2009/9,-4009,-1.53,-18.67,363,0.14,1.69,1597,0.61,7.44,1234,0.47,5.75
2009/10,-410,-0.16,-1.85,571,0.22,2.58,1745,0.67,7.88,1174,0.45,5.3
2009/11,-307,-0.12,-1.43,623,0.24,2.91,1770,0.68,8.26,1147,0.44,5.35
2009/12,-451,-0.17,-2.04,523,0.2,2.36,1852,0.71,8.36,1329,0.51,6
2010/1,-1277,-0.49,-5.77,339,0.13,1.53,1673,0.64,7.56,1334,0.51,6.03
2010/2,-1088,-0.42,-5.44,73,0.03,0.37,1266,0.49,6.33,1193,0.46,5.97
2010/3,-319,-0.12,-1.44,246,0.09,1.11,1700,0.65,7.68,1454,0.56,6.57
2010/4,-1093,-0.42,-5.11,57,0.02,0.27,1395,0.54,6.52,1338,0.51,6.25
2010/5,499,0.19,2.26,222,0.09,1,1426,0.55,6.45,1204,0.46,5.44
2010/6,-1282,-0.49,-5.99,144,0.06,0.67,1409,0.54,6.58,1265,0.49,5.91
2010/7,2489,0.96,11.26,48,0.02,0.22,1382,0.53,6.25,1334,0.51,6.03
2010/8,-48,-0.02,-0.22,228,0.09,1.03,1464,0.56,6.62,1236,0.47,5.59
2010/9,3614,1.39,16.88,454,0.17,2.12,1660,0.64,7.75,1206,0.46,5.63
2010/10,4148,1.59,18.72,349,0.13,1.57,1545,0.59,6.97,1196,0.46,5.39
2010/11,2542,0.97,11.84,406,0.16,1.89,1732,0.66,8.06,1326,0.51,6.17
2010/12,3159,1.21,14.22,566,0.22,2.55,1878,0.72,8.45,1312,0.5,5.9
2011/1,4111,1.57,18.48,411,0.16,1.85,1942,0.74,8.72,1531,0.58,6.88
2011/2,1908,0.73,9.48,165,0.06,0.82,1550,0.59,7.7,1385,0.53,6.88
2011/3,2886,1.1,12.95,563,0.21,2.52,2287,0.87,10.25,1724,0.66,7.73
2011/4,2608,0.99,12.08,436,0.17,2.02,1867,0.71,8.64,1431,0.54,6.62
2011/5,2759,1.05,12.35,799,0.3,3.57,2093,0.8,9.36,1294,0.49,5.79
2011/6,2722,1.03,12.58,761,0.29,3.51,2037,0.77,9.41,1276,0.48,5.89
2011/7,2100,0.8,9.38,757,0.29,3.38,1957,0.74,8.74,1200,0.46,5.36
2011/8,1198,0.45,5.35,864,0.33,3.86,2137,0.81,9.54,1273,0.48,5.68
2011/9,1035,0.39,4.77,1374,0.52,6.33,2550,0.97,11.75,1176,0.45,5.42
2011/10,3037,1.15,13.54,800,0.3,3.57,1956,0.74,8.72,1156,0.44,5.15
2011/11,3986,1.51,18.35,1101,0.42,5.06,2346,0.89,10.79,1245,0.47,5.73
2011/12,3846,1.45,17.11,1113,0.42,4.95,2410,0.91,10.71,1297,0.49,5.76
2012/1,1991,0.75,8.87,534,0.2,2.38,1953,0.74,8.69,1419,0.54,6.32
2012/2,989,0.37,4.7,661,0.25,3.14,2196,0.83,10.44,1535,0.58,7.3
2012/3,2564,0.97,11.41,837,0.32,3.72,2410,0.91,10.72,1573,0.59,6.99
